p1	p2	interaction
P01344	P18065	reaction
P18065	P41159	activation
P18065	P05019	expression
P24593	P10451	catalysis
P24593	P01344	binding
P01344	P24593	binding
P24593	P05019	reaction
P24593	Q8NBJ4	catalysis
P02787	P24593	reaction
P35858	P24593	reaction
P24593	Q8IXL6	catalysis
P02751	P24593	reaction
Q14766	P24593	reaction
P24593	P07996	binding
P07996	P24593	binding
P24593	Q9NS23	binding
Q9NS23	P24593	binding
P24593	Q14192	binding
Q14192	P24593	binding
O60928	P62879	activation
P62879	O60928	activation
O60928	O14775	activation
O14775	O60928	activation
O60928	P62873	activation
P62873	O60928	activation
P00734	P38435	catalysis
P00742	P38435	catalysis
P04070	P38435	catalysis
P02818	P38435	catalysis
P08709	P38435	catalysis
P61604	Q8N0U8	binding
Q8N0U8	P61604	binding
P61604	P49368	binding
P49368	P61604	binding
P61604	Q9NPJ1	binding
Q9NPJ1	P61604	binding
P61604	P48643	binding
P48643	P61604	binding
P61604	P50991	binding
P50991	P61604	binding
P61604	P40227	binding
P40227	P61604	binding
P61604	P78371	binding
P78371	P61604	binding
P61604	P10809	binding
P10809	P61604	binding
P61604	P38646	binding
P38646	P61604	binding
P61604	Q92526	binding
Q92526	P61604	binding
P61604	Q99832	binding
Q99832	P61604	binding
P61604	Q6UXN9	binding
Q6UXN9	P61604	binding
P61604	P17987	binding
P17987	P61604	binding
Q5T9L3	Q9Y6F9	reaction
Q9Y6F9	Q9H461	ptmod
Q9H461	Q9Y6F9	ptmod
Q9Y6F9	O60353	ptmod
O60353	Q9Y6F9	ptmod
Q9Y6F9	Q14114	activation
Q14114	Q9Y6F9	activation
Q9Y6F9	Q9NPG1	activation
Q9NPG1	Q9Y6F9	activation
Q9Y6F9	Q13467	binding
Q13467	Q9Y6F9	binding
Q9Y6F9	Q92997	catalysis
O14640	Q9Y6F9	reaction
Q9Y6F9	O75084	ptmod
O75084	Q9Y6F9	ptmod
Q9Y6F9	Q9ULV1	activation
Q9ULV1	Q9Y6F9	activation
Q9Y6F9	Q14332	ptmod
Q14332	Q9Y6F9	ptmod
Q9Y6F9	O75096	activation
O75096	Q9Y6F9	activation
Q9Y6F9	Q9H237	catalysis
Q9Y6F9	Q92765	inhibition
Q92765	Q9Y6F9	inhibition
Q9Y6F9	Q6P988	inhibition
Q6P988	Q9Y6F9	inhibition
Q9Y6F9	O75581	activation
O75581	Q9Y6F9	activation
Q9Y6F9	Q9UP38	binding
Q9UP38	Q9Y6F9	binding
Q9Y6F9	P35052	activation
P35052	Q9Y6F9	activation
Q9Y6F9	Q8N158	activation
Q8N158	Q9Y6F9	activation
Q9Y6F9	Q9Y261	expression
Q9Y6F9	Q96HF1	inhibition
Q96HF1	Q9Y6F9	inhibition
Q9Y6F9	O00144	activation
O00144	Q9Y6F9	activation
Q9Y6F9	Q9Y625	activation
Q9Y625	Q9Y6F9	activation
Q9Y6F9	Q5T4F7	inhibition
Q5T4F7	Q9Y6F9	inhibition
Q9Y6F9	O75487	activation
O75487	Q9Y6F9	activation
Q9Y6F9	Q6FHJ7	inhibition
Q6FHJ7	Q9Y6F9	inhibition
Q9Y6F9	P01130	activation
P01130	Q9Y6F9	activation
Q9Y6F9	Q13308	binding
Q13308	Q9Y6F9	binding
Q9Y6F9	O75197	activation
O75197	Q9Y6F9	activation
Q9Y6F9	Q9Y3A6	activation
Q9Y6F9	P78333	activation
P78333	Q9Y6F9	activation
Q9Y6F9	P98155	activation
P98155	Q9Y6F9	activation
Q9Y6F9	P34925	activation
P34925	Q9Y6F9	activation
Q9Y6F9	P51654	activation
P51654	Q9Y6F9	activation
O95760	Q01638	inhibition
Q01638	Q9NPH3	binding
Q9NPH3	Q01638	binding
Q01638	Q99836	binding
Q99836	Q01638	binding
Q01638	Q9NWZ3	binding
Q9NWZ3	Q01638	binding
Q01638	Q9Y4K3	binding
Q9Y4K3	Q01638	binding
Q01638	P51617	binding
P51617	Q01638	binding
Q96BS2	Q9UBY0	catalysis
Q9UBY0	O43745	binding
O43745	Q9UBY0	binding
Q9UBY0	Q99828	catalysis
Q9UBY0	Q96LZ3	catalysis
Q9UBY0	Q15759	activation
Q15759	Q9UBY0	activation
Q9UBY0	Q16659	activation
Q16659	Q9UBY0	activation
Q9UBY0	Q8TD08	activation
Q8TD08	Q9UBY0	activation
P63098	Q9UBY0	catalysis
Q9UBY0	A0PJX0	catalysis
Q9UBY0	P27361	activation
P27361	Q9UBY0	activation
Q9UBY0	Q99653	catalysis
Q9UBY0	Q13164	activation
Q13164	Q9UBY0	activation
Q9UBY0	P31152	activation
P31152	Q9UBY0	activation
P20160	O00254	activation
O00254	P20160	activation
P29508	P20160	reaction
P20160	P07686	reaction
P10619	P20160	reaction
P02792	P20160	reaction
P01024	P20160	reaction
P20160	P25116	activation
P25116	P20160	activation
P20160	P42685	reaction
P20160	Q8NBS9	reaction
P20160	P55072	reaction
P20160	Q5JS37	reaction
P20160	Q13217	reaction
P20160	P30041	reaction
P20160	Q96RI0	activation
Q96RI0	P20160	activation
P07355	P20160	reaction
P78371	P20160	reaction
Q15435	Q8NB91	binding
Q8NB91	Q15435	binding
Q15435	P49756	binding
P49756	Q15435	binding
Q15435	Q9Y2W2	binding
Q9Y2W2	Q15435	binding
Q15435	Q9Y2U5	binding
Q9Y2U5	Q15435	binding
Q15435	Q8N1I0	reaction
Q15435	P36873	binding
P36873	Q15435	binding
Q15435	Q9NW38	binding
Q9NW38	Q15435	binding
Q15435	Q96QC0	binding
Q96QC0	Q15435	binding
Q15435	P16298	binding
P16298	Q15435	binding
Q96GD4	Q15435	catalysis
Q15435	Q8NI77	binding
Q8NI77	Q15435	binding
Q15435	Q00005	binding
Q00005	Q15435	binding
Q15435	P48454	binding
P48454	Q15435	binding
Q15435	Q9Y2I2	activation
Q9Y2I2	Q15435	activation
Q15435	P62140	binding
P62140	Q15435	binding
Q15435	Q9UQB9	reaction
Q9UQB9	Q15435	reaction
Q15435	P60510	binding
P60510	Q15435	binding
Q15435	Q66LE6	binding
Q66LE6	Q15435	binding
Q15435	Q149M9	catalysis
Q15435	Q92841	binding
Q92841	Q15435	binding
Q15435	Q08209	binding
Q08209	Q15435	binding
Q15435	Q9Y2T4	binding
Q9Y2T4	Q15435	binding
Q15435	P63151	binding
P63151	Q15435	binding
Q15435	O00743	binding
O00743	Q15435	binding
Q15435	P67775	binding
P67775	Q15435	binding
Q15435	Q99759	binding
Q99759	Q15435	binding
Q15435	Q6NWY9	binding
Q6NWY9	Q15435	binding
Q15435	Q13233	binding
Q13233	Q15435	binding
Q15435	Q9H788	binding
Q9H788	Q15435	binding
Q15435	P62136	binding
P62136	Q15435	binding
Q15435	Q99558	binding
Q99558	Q15435	binding
Q15435	O60927	binding
O60927	Q15435	binding
Q15435	P53350	ptmod
Q15435	Q13625	binding
Q13625	Q15435	binding
Q15435	P19388	binding
P19388	Q15435	binding
Q15435	Q56UN5	binding
Q56UN5	Q15435	binding
P05067	P04070	catalysis
Q9UQP3	P04070	reaction
P04070	P07237	reaction
P04070	P12259	catalysis
P24821	P04070	reaction
P01008	P04070	catalysis
P01024	P04070	reaction
P04070	Q9UK55	activation
Q9UK55	P04070	activation
Q92752	P04070	reaction
Q06481	P04070	catalysis
P00451	P04070	catalysis
P40197	P04070	inhibition
P04070	P25116	activation
P04070	Q15084	reaction
P04070	P08697	activation
P08697	P04070	activation
P04070	P02787	catalysis
O00602	P04070	reaction
P04070	P07204	catalysis
P00450	P04070	reaction
P04070	Q13217	catalysis
P0C0L4	P04070	catalysis
P04070	P05154	binding
P05154	P04070	binding
P14770	P04070	inhibition
P02679	P04070	inhibition
P07359	P04070	inhibition
P04070	P00734	activation
Q15485	P04070	reaction
P04070	P05120	inhibition
P05120	P04070	inhibition
P04070	P01009	reaction
P08582	P04070	catalysis
P04070	P49841	activation
P04070	P07225	binding
P07225	P04070	binding
P13224	P04070	inhibition
P04070	P01023	inhibition
P01023	P04070	inhibition
P04070	P02776	activation
P02675	P04070	inhibition
Q02363	Q16254	binding
Q16254	Q02363	binding
Q02363	P15923	binding
P15923	Q02363	binding
Q02363	O75081	expression
Q13516	Q02363	activation
Q02363	P06400	binding
P06400	Q02363	binding
Q02363	Q92908	expression
Q02363	Q01892	expression
Q02363	P41182	binding
P41182	Q02363	binding
Q02363	Q96HC4	binding
Q96HC4	Q02363	binding
Q02363	P15884	binding
P15884	Q02363	binding
Q02363	P04637	expression
Q02363	P11161	activation
Q02363	P15173	binding
P15173	Q02363	binding
Q02363	Q05516	expression
Q02363	Q99684	expression
Q02363	P18146	activation
Q02363	P50553	binding
P50553	Q02363	binding
P15172	Q02363	expression
P11926	O43474	expression
P11926	P01106	activation
P11926	P54368	binding
P54368	P11926	binding
O95190	P11926	reaction
P11926	P17980	catalysis
P11926	P19623	binding
P19623	P11926	binding
P11926	Q9UMX2	reaction
P11926	P52788	binding
P52788	P11926	binding
P11926	Q14997	catalysis
P11926	O00487	catalysis
P11926	P50539	expression
Q9H8Y8	P53992	binding
P53992	Q9H8Y8	binding
A8MQT2	Q9H8Y8	reaction
Q9H8Y8	I6L899	reaction
Q9H8Y8	Q5T1M5	reaction
Q9H8Y8	P0DI82	binding
P0DI82	Q9H8Y8	binding
Q9H8Y8	Q16181	binding
Q16181	Q9H8Y8	binding
Q9H8Y8	O95487	reaction
Q9H8Y8	Q9Y371	binding
Q9Y371	Q9H8Y8	binding
Q9H8Y8	Q15437	reaction
Q15437	Q9H8Y8	reaction
Q9H8Y8	P62820	reaction
O00186	Q9H8Y8	reaction
F8WBI6	Q9H8Y8	catalysis
Q9H8Y8	P61764	reaction
A6NCC3	Q9H8Y8	catalysis
Q9H082	Q9H8Y8	catalysis
Q9Y3Q3	Q9H8Y8	reaction
Q9H8Y8	Q10567	reaction
Q9H8Y8	Q9NYA3	binding
Q9NYA3	Q9H8Y8	binding
Q9Y6B7	Q9H8Y8	reaction
Q9H8Y8	Q15833	reaction
A7E2F4	Q9H8Y8	catalysis
Q9H8Y8	Q9BVK6	reaction
Q9H8Y8	P61019	reaction
Q9H8Y8	A4D1S5	reaction
Q9H8Y8	O94855	reaction
Q9H8Y8	Q9H2G9	binding
Q9H2G9	Q9H8Y8	binding
Q9H8Y8	Q15436	binding
Q15436	Q9H8Y8	binding
Q9H8Y8	O95486	binding
O95486	Q9H8Y8	binding
P63010	Q9H8Y8	reaction
P55735	Q9H8Y8	reaction
A6NEF3	Q9H8Y8	reaction
Q9H8Y8	A6NMD2	reaction
A6NMD2	Q9H8Y8	reaction
Q9H8Y8	P0CJ92	catalysis
Q9H8Y8	H3BSY2	binding
H3BSY2	Q9H8Y8	binding
Q14088	Q9H8Y8	reaction
Q9H8Y8	O60763	binding
O60763	Q9H8Y8	binding
Q9H8Y8	Q86YS6	catalysis
Q9H8Y8	A6NDN3	binding
A6NDN3	Q9H8Y8	binding
Q9H8Y8	A6NI86	reaction
Q9H8Y8	Q9H0U4	reaction
Q9H0U4	Q9H8Y8	reaction
Q9H8Y8	A6NEM1	reaction
Q9H8Y8	Q6P3W7	binding
Q6P3W7	Q9H8Y8	binding
Q9H8Y8	Q8WVM8	reaction
Q3YEC7	Q9H8Y8	catalysis
Q7Z7H5	Q9H8Y8	reaction
Q9H8Y8	Q92733	binding
Q92733	Q9H8Y8	binding
Q9H8Y8	Q08379	reaction
Q08379	Q9H8Y8	reaction
Q9H8Y8	Q9BX67	binding
Q9BX67	Q9H8Y8	binding
Q9H8Y8	A6NDK9	reaction
A6NDK9	Q9H8Y8	reaction
Q9H8Y8	Q5T6F2	binding
Q5T6F2	Q9H8Y8	binding
Q9H8Y8	D6RF30	reaction
Q9H8Y8	Q9Y3B3	reaction
Q9H8Y8	P0CG33	binding
P0CG33	Q9H8Y8	binding
Q9H8Y8	O00203	reaction
O00203	Q9H8Y8	reaction
Q9H8Y8	Q00535	binding
Q00535	Q9H8Y8	binding
Q9H8Y8	O00151	binding
O00151	Q9H8Y8	binding
Q03701	O15381	binding
O15381	Q03701	binding
Q03701	Q99848	binding
Q99848	Q03701	binding
Q03701	Q9H7B2	binding
Q9H7B2	Q03701	binding
Q03701	Q12788	binding
Q12788	Q03701	binding
Q03701	Q8IWA0	binding
Q8IWA0	Q03701	binding
Q03701	Q8WTT2	binding
Q8WTT2	Q03701	binding
Q03701	Q9BVI4	binding
Q9BVI4	Q03701	binding
Q03701	P56182	binding
P56182	Q03701	binding
Q03701	Q9Y221	binding
Q9Y221	Q03701	binding
Q03701	Q14692	binding
Q14692	Q03701	binding
Q03701	Q8TDN6	binding
Q8TDN6	Q03701	binding
Q03701	Q15397	binding
Q15397	Q03701	binding
Q03701	P46199	binding
P46199	Q03701	binding
Q03701	P42696	binding
P42696	Q03701	binding
Q03701	Q9NVN8	binding
Q9NVN8	Q03701	binding
Q03701	Q9NR30	binding
Q9NR30	Q03701	binding
Q03701	Q9Y4C8	binding
Q9Y4C8	Q03701	binding
Q03701	P18124	binding
P18124	Q03701	binding
Q03701	O00541	binding
O00541	Q03701	binding
Q03701	Q14137	binding
Q14137	Q03701	binding
Q03701	Q9BQ39	binding
Q9BQ39	Q03701	binding
Q03701	P25208	binding
P25208	Q03701	binding
Q03701	Q92841	binding
Q92841	Q03701	binding
Q03701	Q9Y3T9	binding
Q9Y3T9	Q03701	binding
Q03701	P55769	binding
P55769	Q03701	binding
Q03701	Q9H583	binding
Q9H583	Q03701	binding
Q03701	Q9NY93	binding
Q9NY93	Q03701	binding
Q03701	Q96G21	binding
Q96G21	Q03701	binding
Q03701	Q8N8A6	binding
Q8N8A6	Q03701	binding
Q03701	Q15269	binding
Q15269	Q03701	binding
Q03701	O00567	binding
O00567	Q03701	binding
Q03701	Q587J7	binding
Q587J7	Q03701	binding
Q03701	Q8TEA1	binding
Q8TEA1	Q03701	binding
Q03701	Q17RG1	binding
Q17RG1	Q03701	binding
Q03701	O60832	binding
O60832	Q03701	binding
Q03701	Q9H9Y2	binding
Q9H9Y2	Q03701	binding
Q03701	Q969S3	binding
Q969S3	Q03701	binding
Q03701	Q96GQ7	binding
Q96GQ7	Q03701	binding
Q03701	Q15050	binding
Q15050	Q03701	binding
Q03701	Q9UKD2	binding
Q9UKD2	Q03701	binding
Q03701	Q86U38	binding
Q86U38	Q03701	binding
Q03701	Q13823	binding
Q13823	Q03701	binding
Q03701	Q9Y3B9	binding
Q9Y3B9	Q03701	binding
Q03701	Q8NHQ9	binding
Q8NHQ9	Q03701	binding
Q03701	P46087	binding
P46087	Q03701	binding
Q03701	Q9BVP2	binding
Q9BVP2	Q03701	binding
Q03701	O43159	binding
O43159	Q03701	binding
Q03701	O95478	binding
O95478	Q03701	binding
Q03701	Q9H0A0	binding
Q9H0A0	Q03701	binding
Q03701	Q9GZL7	binding
Q9GZL7	Q03701	binding
Q03701	Q9NRX1	binding
Q9NRX1	Q03701	binding
Q03701	P56537	binding
P56537	Q03701	binding
Q03701	Q9Y2X3	binding
Q9Y2X3	Q03701	binding
Q03701	Q8IY81	binding
Q8IY81	Q03701	binding
Q03701	Q8TDD1	binding
Q8TDD1	Q03701	binding
Q03701	Q8WWH5	binding
Q8WWH5	Q03701	binding
Q03701	Q96D46	binding
Q96D46	Q03701	binding
Q03701	O00566	binding
O00566	Q03701	binding
Q03701	Q9BXY0	binding
Q9BXY0	Q03701	binding
Q03701	O43143	binding
O43143	Q03701	binding
Q03701	Q9UQ80	binding
Q9UQ80	Q03701	binding
Q03701	Q5F1R6	binding
Q5F1R6	Q03701	binding
Q03701	Q9BZE4	binding
Q9BZE4	Q03701	binding
Q03701	Q6RFH5	binding
Q6RFH5	Q03701	binding
Q03701	Q9NQ55	binding
Q9NQ55	Q03701	binding
Q03701	Q8N9T8	binding
Q8N9T8	Q03701	binding
Q03701	O15213	binding
O15213	Q03701	binding
Q03701	Q7L7V1	binding
Q7L7V1	Q03701	binding
Q03701	Q8NI36	binding
Q8NI36	Q03701	binding
Q03701	Q8TE96	binding
Q8TE96	Q03701	binding
Q03701	P05388	binding
P05388	Q03701	binding
Q03701	Q9BYG3	binding
Q9BYG3	Q03701	binding
Q03701	Q9Y6V7	binding
Q9Y6V7	Q03701	binding
Q03701	Q14684	binding
Q14684	Q03701	binding
Q03701	Q86SP6	binding
Q86SP6	Q03701	binding
Q03701	Q9UET6	binding
Q9UET6	Q03701	binding
Q03701	Q9GZR7	binding
Q9GZR7	Q03701	binding
Q03701	Q6W5P4	binding
Q6W5P4	Q03701	binding
Q03701	Q8IY37	binding
Q8IY37	Q03701	binding
Q03701	Q6DKI1	binding
Q6DKI1	Q03701	binding
Q03701	O76021	binding
O76021	Q03701	binding
Q03701	Q9NVP1	binding
Q9NVP1	Q03701	binding
Q03701	O60841	binding
O60841	Q03701	binding
Q03701	Q8TED0	binding
Q8TED0	Q03701	binding
Q03701	Q14690	binding
Q14690	Q03701	binding
Q03701	Q5T1V6	binding
Q5T1V6	Q03701	binding
Q03701	Q9UI43	binding
Q9UI43	Q03701	binding
Q03701	Q9NV06	binding
Q9NV06	Q03701	binding
Q03701	Q5JTH9	binding
Q5JTH9	Q03701	binding
Q07687	O15054	expression
Q12837	Q07687	expression
Q07687	P26367	binding
P26367	Q07687	binding
Q07687	Q14689	binding
Q14689	Q07687	binding
Q07687	Q15596	binding
Q15596	Q07687	binding
Q07687	P48436	binding
P48436	Q07687	binding
Q07687	O15266	expression
Q07687	Q9HBU1	expression
Q13416	Q13156	binding
Q13156	Q13416	binding
Q13416	Q9NXL9	reaction
Q9UBD5	Q13416	reaction
Q13416	Q00526	reaction
Q00526	Q13416	reaction
Q13416	Q96Q40	binding
Q96Q40	Q13416	binding
Q9H211	Q13416	reaction
P49643	Q13416	activation
Q13416	Q8NFT6	binding
Q8NFT6	Q13416	binding
Q13416	P06493	reaction
P06493	Q13416	reaction
Q13416	Q00536	catalysis
Q13416	P78396	catalysis
Q13416	P25205	reaction
Q13416	O96020	catalysis
Q4G0Z9	Q13416	reaction
Q13416	P11802	reaction
Q13416	P41002	catalysis
Q13416	P24941	binding
P24941	Q13416	binding
O43913	Q13416	reaction
Q13416	P27694	binding
P27694	Q13416	binding
Q13416	Q8WWL7	catalysis
Q13416	Q00534	reaction
Q00534	Q13416	reaction
Q13416	Q9UJA3	reaction
Q07864	Q13416	activation
Q13416	P14635	catalysis
Q13416	Q14094	catalysis
O94921	Q13416	reaction
Q13416	P20248	catalysis
Q13416	P24864	catalysis
Q13416	Q07002	binding
Q07002	Q13416	binding
Q13416	P33991	binding
P33991	Q13416	binding
Q13416	Q00537	reaction
Q00537	Q13416	reaction
Q13416	P49450	binding
P49450	Q13416	binding
Q13416	Q08050	binding
Q08050	Q13416	binding
Q13416	O75419	reaction
O75419	Q13416	reaction
Q13416	Q15562	binding
Q15562	Q13416	binding
O00311	Q13416	reaction
Q13416	P22674	catalysis
Q13416	P53350	ptmod
Q14566	Q13416	reaction
Q13416	O95067	catalysis
Q13416	P33993	reaction
P33993	Q13416	reaction
Q13416	Q8IV13	catalysis
O43929	Q13416	reaction
P49736	Q13416	reaction
Q13416	Q7L590	reaction
Q13416	Q6ZMN8	catalysis
Q13416	Q9NYY3	ptmod
Q14181	Q13416	activation
Q13416	Q16589	catalysis
Q13416	Q13415	binding
Q13415	Q13416	binding
Q13416	Q14691	binding
Q14691	Q13416	binding
Q13416	P51959	catalysis
Q13416	Q14168	binding
Q14168	Q13416	binding
Q13416	Q13535	catalysis
Q13416	Q9BRT9	binding
Q9BRT9	Q13416	binding
Q13416	Q9UNY4	binding
Q9UNY4	Q13416	binding
Q13416	Q9UBU7	reaction
P09884	Q13416	activation
Q13416	O14929	binding
O14929	Q13416	binding
Q13416	Q9BV38	binding
Q9BV38	Q13416	binding
Q9NR33	Q13416	activation
Q13416	Q8WTT2	binding
Q8WTT2	Q13416	binding
P28340	Q13416	activation
P49642	Q13416	activation
Q13416	Q9UFC0	binding
Q9UFC0	Q13416	binding
Q13416	P15927	binding
P15927	Q13416	binding
P63098	Q8TD86	activation
Q8TD86	P63098	activation
P63098	P0DP24	reaction
P63098	P0DP24	reaction
P0DP24	P63098	reaction
P63098	Q08209	binding
Q08209	P63098	binding
P63098	P48454	catalysis
P31947	P63098	catalysis
Q14940	P63098	catalysis
P63098	Q8TDM6	binding
Q8TDM6	P63098	binding
P16298	P63098	catalysis
P63098	P30260	ptmod
P30260	P63098	ptmod
P63098	O60927	binding
O60927	P63098	binding
P63098	Q53ET0	ptmod
Q53ET0	P63098	ptmod
P63098	Q13469	ptmod
Q13469	P63098	ptmod
P63098	Q96GE6	activation
Q96GE6	P63098	activation
Q04917	P63098	catalysis
P63098	P67775	binding
P67775	P63098	binding
P63098	P0DP24	reaction
P0DP24	P63098	reaction
O14936	P63098	reaction
P63098	P48764	binding
P48764	P63098	binding
P63098	P62136	binding
P62136	P63098	binding
P63098	Q9NZT1	activation
Q9NZT1	P63098	activation
P63098	Q8WYL5	activation
Q8WYL5	P63098	activation
P63098	Q8TE77	activation
Q8TE77	P63098	activation
P63098	O00743	binding
O00743	P63098	binding
P63098	O95644	ptmod
O95644	P63098	ptmod
P63098	P19634	binding
P19634	P63098	binding
P63098	Q6AI14	catalysis
P63098	P08294	binding
P08294	P63098	binding
P63098	P36873	binding
P36873	P63098	binding
P31946	P63098	catalysis
P63098	P60510	binding
P60510	P63098	binding
P63098	Q13114	binding
Q13114	P63098	binding
P63098	Q14573	binding
Q14573	P63098	binding
P63098	Q9UQ13	binding
Q9UQ13	P63098	binding
P27348	P63098	catalysis
P63098	P99999	binding
P99999	P63098	binding
P63098	Q9NRD5	binding
Q9NRD5	P63098	binding
P63098	P62942	inhibition
P63098	P27482	binding
P27482	P63098	binding
P63098	Q8WXR4	binding
Q8WXR4	P63098	binding
P63098	O14974	binding
O14974	P63098	binding
P63098	Q76I76	activation
Q76I76	P63098	activation
P63098	P62140	binding
P62140	P63098	binding
P62258	P63098	catalysis
P63104	P63098	catalysis
P63098	P00441	binding
P00441	P63098	binding
P61981	P63098	catalysis
P63098	P62937	inhibition
P63098	Q5S007	activation
Q5S007	P63098	activation
P24158	P08582	reaction
P30041	P24158	reaction
P05067	P24158	reaction
Q13217	P24158	reaction
P05154	P24158	reaction
P01024	P24158	catalysis
Q5JS37	P24158	reaction
P24158	Q06481	reaction
P24158	P29508	reaction
P49913	P24158	catalysis
P07686	P24158	reaction
P24158	P55072	reaction
P24158	P02675	reaction
P24158	P42685	reaction
P12259	P24158	reaction
P02679	P24158	reaction
P24158	Q96RI0	activation
Q96RI0	P24158	activation
P24158	Q8NBS9	reaction
P24158	P02792	reaction
P24158	P78371	reaction
P10619	P24158	reaction
P24158	P25116	activation
P25116	P24158	activation
P07355	P24158	reaction
P24158	O60603	binding
O60603	P24158	binding
P24158	P24001	binding
P24001	P24158	binding
P24158	O00254	activation
O00254	P24158	activation
P24158	P05155	reaction
Q969F8	P47992	catalysis
Q969F8	Q9UBI6	catalysis
Q969F8	P30990	reaction
P30990	Q969F8	reaction
Q969F8	P20800	reaction
P62879	Q969F8	catalysis
Q969F8	O14775	binding
O14775	Q969F8	binding
Q969F8	Q9UK08	binding
Q9UK08	Q969F8	binding
P63218	Q969F8	reaction
Q969F8	P05305	catalysis
P61952	Q969F8	catalysis
Q969F8	Q9P2W3	catalysis
P41594	Q969F8	catalysis
Q969F8	P50148	reaction
P50148	Q969F8	reaction
P50151	Q969F8	catalysis
Q969F8	P30679	reaction
P62873	Q969F8	reaction
Q969F8	P63211	binding
P63211	Q969F8	binding
Q15726	Q969F8	catalysis
P30530	Q969F8	expression
O95837	Q969F8	catalysis
Q969F8	P50150	reaction
P50150	Q969F8	reaction
P47900	Q969F8	catalysis
Q969F8	P01019	reaction
P01019	Q969F8	reaction
P14138	Q969F8	catalysis
Q969F8	Q13255	catalysis
Q969F8	O60262	catalysis
P41180	Q969F8	reaction
Q969F8	Q9UBD3	catalysis
Q969F8	P59768	reaction
Q969F8	P63215	binding
P63215	Q969F8	binding
Q969F8	Q5T6X5	reaction
Q969F8	O14610	binding
O14610	Q969F8	binding
Q969F8	P00533	binding
P00533	Q969F8	binding
O60391	Q05586	catalysis
O60391	P62955	binding
P62955	O60391	binding
O60391	Q92796	reaction
O60391	O43424	binding
O43424	O60391	binding
O60391	Q9ULK0	binding
Q9ULK0	O60391	binding
O60391	Q8TDM6	reaction
Q8TDM6	O60391	reaction
O60391	Q8TBE1	binding
Q8TBE1	O60391	binding
O60391	Q12929	binding
Q12929	O60391	binding
O60391	Q9BWT7	reaction
O60391	Q9BXL7	binding
Q9BXL7	O60391	binding
O60391	Q14289	binding
Q14289	O60391	binding
O60391	P06241	reaction
P06241	O60391	reaction
Q68DX3	O60391	reaction
O60391	P17612	activation
P17612	O60391	activation
O60391	Q9UBN1	binding
Q9UBN1	O60391	binding
O60391	Q9Y566	binding
Q9Y566	O60391	binding
O60391	P42261	binding
P42261	O60391	binding
O60391	Q12959	reaction
O14936	O60391	catalysis
O60391	P22694	ptmod
P22694	O60391	ptmod
O60391	Q96M69	binding
Q96M69	O60391	binding
O60391	P42262	binding
P42262	O60391	binding
O60391	Q13002	binding
Q13002	O60391	binding
O60391	P22612	activation
P22612	O60391	activation
O60391	Q9UF02	binding
Q9UF02	O60391	binding
O60391	P62136	inhibition
P62136	O60391	inhibition
O60391	Q12879	binding
Q12879	O60391	binding
O60391	Q8WXS5	binding
Q8WXS5	O60391	binding
O60391	P78352	reaction
O60391	Q9Y698	binding
Q9Y698	O60391	binding
O60391	Q15700	binding
Q15700	O60391	binding
O60391	Q16099	binding
Q16099	O60391	binding
O60391	Q9H6S3	binding
Q9H6S3	O60391	binding
O60391	P62140	inhibition
P62140	O60391	inhibition
O60391	P36873	ptmod
P36873	O60391	ptmod
O60391	P48058	binding
P48058	O60391	binding
O60391	P42263	binding
P42263	O60391	binding
O60391	Q9BXL6	reaction
O60391	Q6PI25	binding
Q6PI25	O60391	binding
O60391	Q16478	binding
Q16478	O60391	binding
O60391	P46098	binding
P46098	O60391	binding
O60391	O95264	binding
O95264	O60391	binding
Q9UIW0	P12644	expression
P15313	Q16864	binding
Q16864	P15313	binding
P15313	P48201	binding
P48201	P15313	binding
P15313	P27449	binding
P27449	P15313	binding
P15313	Q06055	binding
Q06055	P15313	binding
P15313	Q99437	binding
Q99437	P15313	binding
P15313	O75787	binding
O75787	P15313	binding
P15313	Q96A05	binding
Q96A05	P15313	binding
P15313	Q8N8Y2	binding
Q8N8Y2	P15313	binding
P15313	Q93050	binding
Q93050	P15313	binding
P15313	Q9HBG4	binding
Q9HBG4	P15313	binding
P15313	Q6IAA8	activation
Q6IAA8	P15313	activation
P15313	P36543	binding
P36543	P15313	binding
P15313	Q13488	binding
Q13488	P15313	binding
P15313	P48047	binding
P48047	P15313	binding
P15313	P05496	binding
P05496	P15313	binding
P15313	Q96LB4	binding
Q96LB4	P15313	binding
P15313	P61421	binding
P61421	P15313	binding
P15313	O75348	binding
O75348	P15313	binding
P15313	O95670	binding
O95670	P15313	binding
P15313	P38606	binding
P38606	P15313	binding
P15313	P21281	binding
P21281	P15313	binding
P15313	P36542	binding
P36542	P15313	binding
P15313	Q9Y2Q5	activation
Q9Y2Q5	P15313	activation
P15313	P21283	binding
P21283	P15313	binding
P15313	Q9UI12	binding
Q9UI12	P15313	binding
P15313	Q8NEY4	binding
Q8NEY4	P15313	binding
P15313	Q9Y487	binding
Q9Y487	P15313	binding
P52701	Q9UQ84	reaction
P52701	P27694	reaction
P27694	P52701	reaction
P52701	P39748	binding
P39748	P52701	binding
P52701	Q92889	binding
Q92889	P52701	binding
P52701	Q9H967	binding
Q9H967	P52701	binding
P20585	P52701	reaction
P28715	P52701	reaction
P52701	P19447	binding
P19447	P52701	binding
P15927	P52701	reaction
P52701	Q9UHC1	binding
Q9UHC1	P52701	binding
